doc_id,org,year,orig_path,clean_path,orig_encoding,bytes,sha1
70bb11434ec897933303d1feae46e2f8da27ebcc,aupcs,2020,aupcs_2020.txt,aupcs_2020.txt,utf-8,227521,70bb11434ec897933303d1feae46e2f8da27ebcc
e8bad98ee73289ee5c8ad33932a5b8fd93e9e87b,aupcs,2023,aupcs_2023.txt,aupcs_2023.txt,utf-8,624498,e8bad98ee73289ee5c8ad33932a5b8fd93e9e87b
0e451f9eabe96c66c4cef84e8f26c7a7aa4c98b8,fatf,1990,fatf_1990.txt,fatf_1990.txt,utf-8,67106,0e451f9eabe96c66c4cef84e8f26c7a7aa4c98b8
201514ef16b246043bad71221595dc4965ec5a70,fatf,1991,fatf_1991.txt,fatf_1991.txt,utf-8,101772,201514ef16b246043bad71221595dc4965ec5a70
ec15bb7a4321319a07b7a89697efe290dd0c3ba5,fatf,1992,fatf_1992.txt,fatf_1992.txt,utf-8,110646,ec15bb7a4321319a07b7a89697efe290dd0c3ba5
60ff0224ee87c89687dc3bb643dab14e65865664,fatf,1993,fatf_1993.txt,fatf_1993.txt,utf-8,86533,60ff0224ee87c89687dc3bb643dab14e65865664
182da88b76e350a7f3f650d059f690f77fd76626,fatf,1994,fatf_1994.txt,fatf_1994.txt,utf-8,69069,182da88b76e350a7f3f650d059f690f77fd76626
99a2e93ef776f39f4c214fc21d5c565c39cae700,fatf,1995,fatf_1995.txt,fatf_1995.txt,utf-8,136424,99a2e93ef776f39f4c214fc21d5c565c39cae700
d21fa654713f06be7f33a4ea1cd3df78de557adf,fatf,1996,fatf_1996.txt,fatf_1996.txt,utf-8,295835,d21fa654713f06be7f33a4ea1cd3df78de557adf
d2044396921a2d6cf6fa4caf0240575238aa4ca4,fatf,1997,fatf_1997.txt,fatf_1997.txt,utf-8,251470,d2044396921a2d6cf6fa4caf0240575238aa4ca4
69cea31b7a2b9b5e4798515170f4735e4577666f,fatf,1998,fatf_1998.txt,fatf_1998.txt,utf-8,251816,69cea31b7a2b9b5e4798515170f4735e4577666f
0dceca5cdad9413f81034493efdb47a00fdec99c,fatf,1999,fatf_1999.txt,fatf_1999.txt,utf-8,386380,0dceca5cdad9413f81034493efdb47a00fdec99c
c000b05863198ffdbaedad2dc9c55eabab7b938e,fatf,2000,fatf_2000.txt,fatf_2000.txt,utf-8,222744,c000b05863198ffdbaedad2dc9c55eabab7b938e
7de779d56412c0079d448d46b18990a475b0ea84,fatf,2001,fatf_2001.txt,fatf_2001.txt,utf-8,207108,7de779d56412c0079d448d46b18990a475b0ea84
d41853d69c1aadf2b729d60b12e486248187ff9b,fatf,2002,fatf_2002.txt,fatf_2002.txt,utf-8,134231,d41853d69c1aadf2b729d60b12e486248187ff9b
4517e9dbf7f1f6d7cfe1bb2981e3bf1bee35be3a,fatf,2003,fatf_2003.txt,fatf_2003.txt,utf-8,95332,4517e9dbf7f1f6d7cfe1bb2981e3bf1bee35be3a
84126d86c134415347085fe7cb6f6b88c553d9fb,fatf,2004,fatf_2004.txt,fatf_2004.txt,utf-8,42518,84126d86c134415347085fe7cb6f6b88c553d9fb
f5ea8c3c80b781847485bc59df4840572508d79a,fatf,2005,fatf_2005.txt,fatf_2005.txt,utf-8,50065,f5ea8c3c80b781847485bc59df4840572508d79a
b11a4aa4b8941473bc1225ccf2532521f9d6387c,fatf,2006,fatf_2006.txt,fatf_2006.txt,utf-8,62617,b11a4aa4b8941473bc1225ccf2532521f9d6387c
a8b06a515fb39b65e75bad8b79c87996b2a5b294,fatf,2007,fatf_2007.txt,fatf_2007.txt,utf-8,96958,a8b06a515fb39b65e75bad8b79c87996b2a5b294
5b0aad11677a00ebbf2361a0c9eba65d015757db,fatf,2009,fatf_2009.txt,fatf_2009.txt,utf-8,93042,5b0aad11677a00ebbf2361a0c9eba65d015757db
0d350344db9bba3b094a0f3a4ecf9a4a37d0703a,fatf,2011,fatf_2011.txt,fatf_2011.txt,utf-8,96446,0d350344db9bba3b094a0f3a4ecf9a4a37d0703a
a2703a41721c22caa9846b0ec178cb468d28666a,fatf,2012,fatf_2012.txt,fatf_2012.txt,utf-8,77294,a2703a41721c22caa9846b0ec178cb468d28666a
95f807860290fc57514208a038a136fa9e012226,fatf,2013,fatf_2013.txt,fatf_2013.txt,utf-8,88851,95f807860290fc57514208a038a136fa9e012226
163ae65a2fdfeb251f61c2fc1a0a0a937d01249f,fatf,2014,fatf_2014.txt,fatf_2014.txt,utf-8,83923,163ae65a2fdfeb251f61c2fc1a0a0a937d01249f
